wElo	bElo	eval	result	R	K	B	Q	P	plyNum
2688	2680	0.85	2	4	4	4	2	14	0
2670	2602	0.15	2	4	4	4	2	14	10
2651	2662	0.28	0	4	4	4	2	16	1
2640	2699	-0.21	2	2	1	1	2	12	57
2693	2654	1.58	2	2	1	3	2	10	67
2600	2674	0.26	2	2	0	0	0	5	98
2665	2665	0.31	2	4	4	4	2	16	3
2676	2705	-0.41	1	3	4	4	2	12	41
2751	2710	-1.46	2	2	0	2	0	6	85
2776	2791	0.0	1	4	2	4	2	15	19
2754	2709	0.33	1	3	0	2	2	9	55
2644	2601	-3.45	2	2	3	3	0	8	64
2653	2670	1.25	2	4	4	4	2	14	28
2631	2674	0.0	2	0	0	0	2	7	91
2603	2627	0.33	2	4	4	4	2	16	3
2630	2685	0.95	2	4	1	1	0	4	81
2630	2625	0.48	2	4	3	3	2	14	20
2650	2605	0.27	2	4	4	4	2	16	4
2791	2727	0.0	2	3	0	2	2	12	50
2685	2632	0.0	2	4	2	0	0	12	41
2649	2649	-1.46	2	4	2	4	2	10	48
2817	2774	-3.51	2	4	1	0	0	9	59
2808	2779	1.6	2	4	3	3	2	11	47
2605	2653	0.22	2	4	3	3	1	10	30
2625	2655	0.1	2	1	0	1	0	5	100
2642	2648	0.08	2	4	4	4	2	14	20
2612	2705	0.26	2	4	4	4	2	14	7
2692	2630	0.47	2	4	4	4	2	14	21
2698	2781	0.22	2	4	4	4	2	16	12
2723	2671	-0.18	2	4	3	3	2	16	14
2605	2610	-0.34	1	4	4	4	2	16	11
2721	2693	0.29	1	4	2	2	2	12	26
2736	2709	0.41	2	4	4	2	2	14	18
2619	2630	-0.11	2	0	0	2	2	2	116
2601	2667	0.01	2	4	2	3	2	14	38
2785	2737	0.06	1	4	2	4	0	16	24
2641	2669	0.14	2	4	4	4	2	16	4
2655	2646	0.13	2	4	4	4	2	16	12
2635	2735	0.02	2	4	4	4	2	12	25
2626	2658	0.41	2	4	4	4	2	16	6
2772	2625	2.9	1	4	2	0	0	6	126
2705	2733	-0.81	0	4	3	3	0	12	39
2741	2679	0.16	1	4	4	4	2	16	5
2721	2655	0.0	2	2	1	0	0	0	212
2687	2630	1.52	1	4	1	3	2	12	39
2673	2759	1.65	2	4	3	3	2	14	43
2685	2654	3.63	1	0	1	1	0	7	93
2693	2660	0.44	2	4	4	4	2	14	31
2644	2712	0.38	2	4	3	1	2	14	39
2666	2660	4.21	2	4	2	2	0	10	56
2657	2692	-0.6	0	4	4	4	2	14	22
2739	2706	0.12	0	4	4	4	2	16	20
2720	2694	0.12	0	4	3	3	2	16	17
2710	2714	-0.03	0	4	1	3	2	12	31
2730	2769	-1.94	2	4	2	2	2	8	50
2677	2600	1.32	1	2	1	3	2	9	88
2604	2696	1.02	2	4	4	4	2	16	23
2678	2704	0.04	2	4	4	3	2	14	19
2749	2703	0.06	2	4	4	4	2	16	8
2624	2642	0.12	2	4	1	1	2	12	49
2715	2705	0.4	2	4	4	4	2	14	17
2656	2657	0.16	2	2	0	0	0	6	88
2715	2610	52.69	0	0	0	0	2	2	163
2602	2710	-1.32	0	4	3	1	2	10	67
2695	2810	-0.23	2	4	4	3	2	14	46
2709	2628	0.02	2	4	4	4	2	16	4
2618	2608	0.59	1	4	4	4	2	16	6
2610	2629	0.22	2	4	4	4	2	16	2
